lsoa_code,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000312,69.03999999999999,20.78,100.0
E01000313,100.58,77.84,92.5
E01000314,115.32000000000001,85.76,99.32000000000001
E01000315,91.32000000000001,60.6,93.62
E01000316,119.21666666666668,96.46666666666665,99.08333333333333
E01000317,112.92,85.14,100.0
E01000318,110.75999999999999,97.52000000000001,99.84
E01000319,144.675,98.675,100.0
E01000320,111.21,78.24,100.0
E01000321,105.28,79.22,94.58
E01000322,86.95,55.98333333333333,99.66666666666667
E01000323,93.06666666666666,65.71666666666667,98.86666666666667
E01000324,74.7,35.38,100.0
E01000325,213.7,98.53999999999999,98.72
E01000326,172.975,98.6,99.3
E01000327,197.32,94.5,94.78
E01000328,151.12,99.7,99.84
E01000329,189.75,89.5,99.875
E01000330,124.64999999999999,83.28333333333333,93.53333333333335
E01000331,180.72,99.56,100.0
E01000332,161.26,95.38,100.0
E01000333,115.18333333333332,80.41666666666667,90.81666666666666
E01000334,131.82,98.52000000000001,99.84
E01000335,117.52000000000001,75.03999999999999,86.03999999999999
E01000336,109.95,73.91666666666667,99.89999999999999
E01000337,147.38000000000002,88.5,100.0
E01000338,160.73999999999998,94.47999999999999,99.58
E01000339,71.42,19.7,100.0
E01000340,92.67999999999999,80.32000000000001,99.52000000000001
E01000341,82.67999999999999,84.3,100.0
E01000342,54.239999999999995,11.58,100.0
E01000343,93.0,61.275,99.75
E01000344,72.38,15.059999999999999,99.64
E01000345,80.25,35.9,100.0
E01000346,161.85999999999999,99.7,100.0
E01000347,132.74,93.14,100.0
E01000348,222.725,99.8,100.0
E01000349,167.38,97.4,99.84
E01000350,139.07500000000002,98.075,100.0
E01000351,139.68,99.42,100.0
E01000352,154.04000000000002,96.7,100.0
E01000353,180.06,100.0,100.0
E01000354,162.52,100.0,100.0
E01000355,154.3,99.7,100.0
E01000356,157.88,99.78,100.0
E01000357,206.9,100.0,100.0
E01000358,158.54000000000002,99.62,100.0
E01000359,154.27499999999998,97.325,99.8
E01000360,122.58,87.17999999999999,91.44
E01000361,177.21999999999997,99.03999999999999,99.88
E01000362,157.99,94.16,95.28
E01000363,158.44,96.82000000000001,100.0
E01000364,166.06,94.9,98.66
E01000365,135.72,87.97999999999999,99.47999999999999
E01000366,177.48,97.8,98.2
E01000367,110.00999999999999,87.56,100.0
E01000368,101.97999999999999,80.74,98.9
E01000369,141.56,97.46000000000001,100.0
E01000370,138.45999999999998,92.84,100.0
E01000371,145.48,99.1,99.86
E01000372,114.05999999999999,86.26,100.0
E01000373,113.35999999999999,79.76,100.0
E01000374,168.575,93.675,99.6
E01000375,156.10666666,94.62,99.72
E01000376,158.1,98.06,99.74
E01000377,147.04000000000002,98.24,100.0
E01000379,156.92,97.88,98.24
E01000380,137.29166666666666,89.8,99.60000000000001
E01000381,108.03333333333335,81.86666666666666,89.25
E01000382,138.32,96.97999999999999,99.53999999999999
E01000383,131.01999999999998,88.12,94.88
E01000384,125.48333333333333,92.46666666666665,100.0
E01000385,124.94000000000001,84.84,98.8
E01000386,89.56,75.52000000000001,95.72
E01000387,121.54,93.4,100.0
E01000388,174.98,99.52000000000001,99.67999999999999
E01000389,156.42000000000002,96.92,97.64
E01000390,187.025,99.625,99.625
E01000391,197.92000000000002,100.0,100.0
E01000392,119.32000000000001,92.84,99.3
E01000393,160.8,98.7,99.7
E01000394,155.06,93.76,93.76
E01000395,91.8,64.675,100.0
E01000396,91.95,83.3,100.0
E01000398,46.0,28.939999999999998,100.0
E01000399,54.48,37.02,99.88
E01000400,65.12,26.619999999999997,100.0
E01000401,65.94,23.119999999999997,99.62
E01000402,138.64000000000001,88.3,100.0
E01000403,83.14285714285714,55.128571428571426,99.64285714285714
E01000404,99.08571428571429,89.94285714285715,96.47142857142856
E01000405,126.5,93.0,98.1
E01000406,162.50666666,98.58,99.38
E01000407,150.8,87.64,99.94
E01000408,169.22,92.42,92.74
E01000409,167.26,100.0,100.0
E01000410,120.85999999999999,98.78,100.0
E01000411,160.4,99.65,100.0
E01000412,70.66,91.28,93.9
E01000413,109.15,92.7,96.175
E01000414,135.38,82.44,98.06
E01000415,150.475,99.1,100.0
E01000416,124.325,98.525,100.0
E01000417,150.0,89.03999999999999,100.0
E01000418,131.88333333333333,83.18333333333334,100.0
E01000419,141.2,99.56,100.0
E01000420,156.66,97.67999999999999,100.0
E01000421,154.42000000000002,100.0,100.0
E01000422,78.84,55.379999999999995,100.0
E01000423,118.66,93.26,100.0
E01000424,102.88333333333333,62.449999999999996,100.0
E01000425,126.52000000000001,99.53999999999999,100.0
E01000426,124.05,97.7,99.89999999999999
E01000427,114.81428571428572,82.71428571428571,100.0
E01000428,72.51666666666667,62.11666666666667,83.7
E01000429,82.25,37.699999999999996,97.55
E01000430,124.14000000000001,80.66,88.82000000000001
E01000431,124.9,88.46000000000001,100.0
E01000433,104.0,65.02000000000001,100.0
E01000434,103.54,33.04,99.52000000000001
E01000435,100.375,84.825,99.825
