lsoa_code,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015
E01031420,11.079,0.078,0.064,13.658,-0.081,-0.532,21.33,3.162,1565
E01031422,8.797,0.048,0.056,15.296000000000001,-0.294,-0.905,22.738,5.277,1509
E01031423,13.126,0.078,0.081,19.529,-0.334,-0.383,21.282,8.733,1660
E01031424,5.469,0.048,0.043,10.1,-0.291,-0.881,9.514,2.543,1423
E01031425,5.102,0.038,0.035,8.63,-0.625,-0.509,14.425999999999998,9.947,1315
E01031426,25.087,0.098,0.082,15.299,0.203,0.072,40.236,52.183,1235
E01031427,46.67400000000001,0.268,0.198,55.737,1.31,0.877,25.624,23.806,1588
E01031428,26.128999999999998,0.124,0.108,26.816,0.319,1.045,22.210999999999995,30.405000000000005,1633
E01031429,52.058,0.313,0.226,77.451,1.201,0.393,29.808,8.361,1470
E01031430,31.238,0.144,0.116,46.343,0.641,1.057,21.206,29.483,1409
E01031431,21.332,0.085,0.035,29.845999999999997,0.674,0.853,37.288,8.794,1652
E01031432,33.914,0.144,0.131,54.497,0.68,0.967,29.52,22.038,2083
